data,anno,id_pratica,id_cliente,filiale,filiale_brand_prevalente,venditore,venditore_brand_prevalente,categoria_prodotto,data_prima_immatricolazione,anzianita_mesi,km_attuali,canale,giacenza_giorni,giacenza_fascia,over150_flag,fascia_prezzo,sconto_applicato_eur,marca,modello,importo_fattura,finanziamento,tipo_prodotto_fi,istituto_finanziario,durata_mesi,importo_finanziato,tipo_cliente,pacchetto_assicurativo,estensione_garanzia,margine_servizi_eur,margine_ferro_eur,margine_totale_eur
2024-02-27,2024,PR-24-00001,CL-24-100001,Filiale 3,Mercedes,VEND_Filiale3_01,Mercedes,USATO,2023-06-28,7,10000,Lead,35,1-90,NO,<=60000,136,KIA,Sorento,20528,NO,,,,0,Privato,NO,NO,118,2225,2343
2025-02-19,2025,PR-25-00001,CL-25-100001,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2025-02-14,0,159,Web,10,1-90,NO,<=60000,380,BMW,X5,46119,NO,,,,0,Privato,NO,SI,1344,1422,2766
2025-05-20,2025,PR-25-00002,CL-25-100002,Filiale 7,KIA,VEND_Filiale7_02,KIA,USATO,2019-10-23,66,52541,Showroom,61,1-90,NO,<=60000,476,KIA,Sportage,38504,SI,FINANZIAMENTO,FIN_AUTO_ONE,24.0,26765,Privato,SI,SI,2982,3817,6799
2024-12-12,2024,PR-24-00002,CL-24-100002,Filiale 6,MINI,VEND_Filiale6_01,MINI,KM0,2024-09-04,3,2568,Showroom,80,1-90,NO,<=60000,147,MINI,Cooper,29212,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,22618,Privato,NO,SI,2293,1265,3558
2025-11-10,2025,PR-25-00003,CL-25-100003,Filiale 4,Mercedes,VEND_Filiale4_03,Mercedes,USATO,2024-04-02,19,28386,Remarketing,43,1-90,NO,<=60000,347,Mercedes,Classe B,40782,NO,,,,0,Privato,SI,NO,1283,3162,4445
2025-05-03,2025,PR-25-00004,CL-25-100004,Filiale 8,KIA,VEND_Filiale8_04,Hyundai,NUOVO,2025-04-14,0,99,B2B,7,1-90,NO,<=60000,38,Hyundai,Tucson,34958,SI,RENTING,FIN_MOBILITY,60.0,26816,Privato,SI,SI,2738,2375,5113
2024-05-03,2024,PR-24-00003,CL-24-100003,Filiale 8,KIA,VEND_Filiale8_01,KIA,NUOVO,2024-04-26,0,136,Showroom,91,90-150,NO,<=60000,1395,KIA,Niro,52605,SI,MAXIRATA,FIN_AUTO_ONE,48.0,32484,Privato,SI,NO,1460,1867,3327
2024-09-02,2024,PR-24-00004,CL-24-100004,Filiale 4,Mercedes,VEND_Filiale4_02,Mercedes,USATO,2018-06-16,74,90431,Web,55,1-90,NO,<=60000,109,Mercedes,GLC,26754,NO,,,,0,Privato,NO,NO,22,1397,1419
2025-04-29,2025,PR-25-00005,CL-25-100005,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,USATO,2020-09-25,55,55184,Web,60,1-90,NO,<=60000,951,Mercedes,GLA,37365,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,36.0,30627,Privato,SI,SI,2377,2998,5375
2024-05-16,2024,PR-24-00005,CL-24-100005,Filiale 5,MINI,VEND_Filiale5_02,MINI,USATO,2023-08-23,8,10000,Remarketing,232,>=150,SI,<=60000,1452,MINI,Clubman,28110,NO,,,,0,Privato,NO,NO,58,988,1046
2025-10-08,2025,PR-25-00006,CL-25-100006,Filiale 2,BMW,VEND_Filiale2_05,BMW,NUOVO,2025-09-12,0,168,Showroom,41,1-90,NO,<=60000,492,BMW,X5,31927,SI,MAXIRATA,FIN_AUTO_ONE,48.0,22474,Azienda,SI,SI,3709,1735,5444
2025-06-16,2025,PR-25-00007,CL-25-100007,Filiale 4,Mercedes,VEND_Filiale4_02,Mercedes,NUOVO,2025-05-29,0,132,Showroom,13,1-90,NO,<=60000,682,Mercedes,GLE,45410,SI,LEASING,FIN_LEASE_GROUP,48.0,28388,Privato,SI,SI,2750,2027,4777
2024-07-30,2024,PR-24-00006,CL-24-100006,Filiale 1,BMW,VEND_Filiale1_02,BMW,NUOVO,2024-06-30,0,149,Showroom,20,1-90,NO,<=60000,546,BMW,Serie 1,45833,SI,RENTING,FIN_MOBILITY,60.0,32880,Azienda,SI,SI,2416,1987,4403
2025-05-26,2025,PR-25-00008,CL-25-100008,Filiale 6,MINI,VEND_Filiale6_03,MINI,USATO,2022-10-16,31,36444,Web,89,1-90,NO,<=60000,684,MINI,Cooper,53584,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,39256,Privato,SI,SI,3759,2896,6655
2024-03-01,2024,PR-24-00007,CL-24-100007,Filiale 3,Mercedes,VEND_Filiale3_02,Mercedes,USATO,2022-07-14,19,25072,Web,60,1-90,NO,<=60000,346,Mercedes,Classe C,33274,SI,FINANZIAMENTO,FIN_AUTO_ONE,72.0,27397,Privato,SI,NO,1711,3676,5387
2024-06-06,2024,PR-24-00008,CL-24-100008,Filiale 3,Mercedes,VEND_Filiale3_01,Mercedes,KM0,2024-04-26,1,1080,Remarketing,50,1-90,NO,<=60000,306,Mercedes,GLA,47963,SI,FINANZIAMENTO,FIN_AUTO_ONE,72.0,29963,Privato,SI,NO,1272,2446,3718
